scenario,year,opening_nev_stock_m,opening_ice_stock_m,domestic_inflow_m,nev_inflow_share_pct,nev_inflow_m,ice_inflow_m,total_retirements_m,nev_retirements_m,ice_retirements_m,nev_stock_m,ice_stock_m,total_auto_stock_m,nev_fleet_share_pct,annual_logit_gain,total_turnover_rate_pct,nev_relative_retirement_weight,annual_domestic_inflow_growth_pct,accounting_gap_m
Conservative,2026,43.9700,322.1400,27.3020,54.5578,14.8954,12.4066,20.1361,0.6644,19.4716,58.2009,315.0750,373.2760,15.5919,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2027,58.2009,315.0750,27.3020,58.2446,15.9019,11.4001,20.5302,0.9062,19.6239,73.1966,306.8511,380.0478,19.2599,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2028,73.1966,306.8511,27.3020,61.8414,16.8839,10.4181,20.9026,1.1764,19.7262,88.9042,297.5430,386.4471,23.0055,0.1500,5.5000,0.2500,0.0000,-0.0000
Conservative,2029,88.9042,297.5430,27.3020,65.3129,17.8317,9.4703,21.2546,1.4773,19.7773,105.2586,287.2360,392.4946,26.8178,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2030,105.2586,287.2360,27.3020,68.6288,18.7370,8.5650,21.5872,1.8117,19.7755,122.1839,276.0254,398.2094,30.6833,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2031,122.1839,276.0254,27.3020,71.7647,19.5932,7.7088,21.9015,2.1822,19.7193,139.5949,264.0149,403.6098,34.5866,0.1500,5.5000,0.2500,0.0000,-0.0000
Conservative,2032,139.5949,264.0149,27.3020,74.7027,20.3953,6.9067,22.1985,2.5917,19.6068,157.3985,251.3148,408.7133,38.5107,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2033,157.3985,251.3148,27.3020,77.4312,21.1403,6.1617,22.4792,3.0432,19.4360,175.4956,238.0405,413.5361,42.4378,0.1500,5.5000,0.2500,0.0000,-0.0000
Conservative,2034,175.4956,238.0405,27.3020,79.9444,21.8264,5.4756,22.7445,3.5397,19.2048,193.7823,224.3113,418.0936,46.3490,0.1500,5.5000,0.2500,0.0000,0.0000
Conservative,2035,193.7823,224.3113,27.3020,82.2419,22.4537,4.8483,22.9951,4.0843,18.9109,212.1517,210.2487,422.4004,50.2253,0.1500,5.5000,0.2500,0.0000,0.0000
