scenario,year,nev_share_pct,annual_logit_gain
Slower,2025,47.9360,0.1500
Slower,2026,51.6842,0.1500
Slower,2027,55.4136,0.1500
Slower,2028,59.0829,0.1500
Slower,2029,62.6538,0.1500
Slower,2030,66.0920,0.1500
Baseline,2025,47.9360,0.2500
Baseline,2026,54.1751,0.2500
Baseline,2027,60.2860,0.2500
Baseline,2028,66.0920,0.2500
Baseline,2029,71.4511,0.2500
Baseline,2030,76.2674,0.2500
Faster,2025,47.9360,0.3500
Faster,2026,56.6453,0.3500
Faster,2027,64.9626,0.3500
Faster,2028,72.4600,0.3500
Faster,2029,78.8748,0.3500
Faster,2030,84.1228,0.3500
