source_id,relative_path,sha256,bytes,capture_type,retrieved_date,url
audit2015auto,data/raw/source_snapshots/audit2015auto.txt,e6b77ea62df62420d0e62d0475509796289d34bcda447fd8635d2f210d7956f1,465,curated_text_evidence,2026-07-14,https://gxt.hunan.gov.cn/sjfb_80675/201602/t20160203_2919580.html
audit2015nev,data/raw/source_snapshots/audit2015nev.txt,e50df80334a5044f437cc99e57802731fe6ab7c245421c8d3cc2d3a628baab17,410,curated_text_evidence,2026-07-14,https://www.nea.gov.cn/2016-07/12/c_135507234.htm
audit2016auto,data/raw/source_snapshots/audit2016auto.txt,5f86ca3a1a53aae111437ec544b2d6d150b714fdb15cf77261610df8df5d2f05,460,curated_text_evidence,2026-07-14,https://www.ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/201702/t20170207_1149876.html
audit2016nev,data/raw/source_snapshots/audit2016nev.txt,4386314951bcd2d26d48c0a0a81459890b0cf3120a7fd1fc1cd03a532f7f6259,419,curated_text_evidence,2026-07-14,https://www.nea.gov.cn/2017-04/12/c_136202749.htm
audit2017miit,data/raw/source_snapshots/audit2017miit.txt,721401600c7a1e781fb8f25ca6be586a2537ee58df12a9987ddfd39fb4f18d8a,528,curated_text_evidence,2026-07-14,https://wap.miit.gov.cn/jgsj/zbys/gzdt/art/2020/art_ed3cef0edd0848b1a2dcbc2ecae9b6e7.html
audit2018mofcom,data/raw/source_snapshots/audit2018mofcom.txt,3753a7383325c639dba1b3d64d3d91f093832e7a913e889a619bffbab82142f8,523,curated_text_evidence,2026-07-14,https://tradeinservices.mofcom.gov.cn/article/lingyu/lyqita/201901/76174.html
audit2019samr,data/raw/source_snapshots/audit2019samr.txt,704fce294f0b1a14137cda4a87910efd5ec02c288c1c7ccf768953c4aeee8c9e,536,curated_text_evidence,2026-07-14,https://www.yncj.gov.cn/cjxzfxxgk/zhxx2209/20200406/1178542.html
audit2020caam,data/raw/source_snapshots/audit2020caam.txt,04a509edd5e6465bb3c1dc3dde7d7d28771cbf8cbeb95c8fa63ffcb07670962f,520,curated_text_evidence,2026-07-14,https://en.caam.org.cn/Index/show/catid/2/id/1686.html
caam2022nevsales,data/raw/source_snapshots/caam2022nevsales.txt,bb97e1164ba354fc1abaa5c515a6d7049782e32df8fafdab20cbc60730355d65,385,curated_text_evidence,2026-07-14,https://en.caam.org.cn/Index/show/catid/54/id/1656.html
caam2023nevsales,data/raw/source_snapshots/caam2023nevsales.txt,03f472080ae95a42574dbfe5ae9b9050a2e739169f313f59623e3fb945e7fc30,385,curated_text_evidence,2026-07-14,https://en.caam.org.cn/Index/show/catid/60/id/1902.html
caam2024nevsales,data/raw/source_snapshots/caam2024nevsales.txt,e2555c721080647e863e8d9764f67582919ee09373a6dd584c67aa71ce7d4afa,385,curated_text_evidence,2026-07-14,https://en.caam.org.cn/Index/show/catid/66/id/2039.html
caam2026exports,data/raw/source_snapshots/caam2026exports.txt,499b790b9ff9d6669f38a3cf9d50478e7753046834932d1a4a6b90a7329de5a2,408,curated_text_evidence,2026-07-14,https://www.caam.org.cn/chn/4/cate_34/con_5237010.html
miit2021composition,data/raw/source_snapshots/miit2021composition.txt,541020fbb3f25d228cda494eddd3419c054b35abd3fbc6d9c05016686231b44d,434,curated_text_evidence,2026-07-14,https://wap.miit.gov.cn/gxsj/tjfx/zbgy/qc/art/2021/art_80a68716879e4180a0dea39183b546cf.html
miit2022exports,data/raw/source_snapshots/miit2022exports.txt,7aa9171ee5325aefbf3884234590bf57891f1504f0dd5af0652d04a0bdc6da78,458,curated_text_evidence,2026-07-14,https://wap.miit.gov.cn/jgsj/zbys/gzdt/art/2022/art_406f5c19283842ddac3af9b6becfece7.html
miit2023exports,data/raw/source_snapshots/miit2023exports.txt,3662e0ca04101ddeda68adad20d8b0ea8eaddb14931753e6900f4c74b60250e4,457,curated_text_evidence,2026-07-14,https://wap.miit.gov.cn/jgsj/zbys/gzdt/art/2023/art_72a940d62c9f4181a9de6b3c0071ece4.html
miit2024exports,data/raw/source_snapshots/miit2024exports.txt,b892608701ae956b612ed0679456c1768cf27a26197031e00fcd0653d25bef5e,444,curated_text_evidence,2026-07-14,https://www.miit.gov.cn/jgsj/bgt/gzdt/art/2024/art_a462e905f5634daa937efa4b2f0985e3.html
miit2025exports,data/raw/source_snapshots/miit2025exports.txt,6b490432ceb61d3d29205098b26bfb04e7ad5d09b4ada5195c1d1c308293f79a,457,curated_text_evidence,2026-07-14,https://www.miit.gov.cn/jgsj/zbys/gzdt/art/2025/art_e4f577dfac694724a108cbdca9a612d3.html
nbs2024industry,data/raw/source_snapshots/nbs2024industry.txt,253d7caf93303f32567e319f7d9d724632dc1b905aff2c49beab642a301bbaa7,504,curated_text_evidence,2026-07-14,https://filedownload-ytb.stats.gov.cn/attachment/16-2024%E5%B9%B4%E6%B1%BD%E8%BD%A6%E5%B7%A5%E4%B8%9A%E7%BB%8F%E6%B5%8E%E8%BF%90%E8%A1%8C%E6%8A%A5%E5%91%8A.pdf
